Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Status,Text Area 1,Text Area 2,Text Area 3,Text Area 4,Text Area 5,Text Area 6,Text Area 7,Text Area 8,Text Area 9,Text Area 10,Text Area 11,Text Area 12,Text Area 13,Text Area 14,Text Area 15,Text Area 16,Text Area 17,Text Area 18,Text Area 19,Text Area 20,Text Area 21,Text Area 22,Text Area 23,Text Area 24,Text Area 25,Text Area 26,Text Area 27,Text Area 28,Text Area 29,Text Area 30,Text Area 31,Comments,property 1
1,Document,,,,,,,,,Draft,Database ER diagram (crow's foot),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Page,,,,,,,,,,Database ER diagram (crow's foot),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Text,Standard,2,,21,,,,,,Database ER diagram (crow's foot),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Text,Standard,2,,21,,,,,,"Lennand Ansag  |  October 22, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Entity,Entity Relationship,2,,,,,,,,tblLogin,EmployeeID,varchar(50),UserName,varchar(50),FName,varchar(50),LName,varchar(50),MName,varchar(50),Password,varchar(50),Gender,varchar(50),Birthdate,date,Address,varchar(100),DateCreated,date,ContactNumber,varchar(50),EmergencyContact,varchar(50),Piecture,image,,,,,,
6,Entity,Entity Relationship,2,,,,,,,,tblWorkersBioData,WorkersID,varchar(50),FName,varchar(50),LName,varchar(50),MName,varchar(50),BirthDate,date,HireDate,date,FatherName,varchar(50),MotherName,varchar(50),MaritalStatus,varchar(50),Religion,varchar(50),NumberOfChildren,"numeric(18,0)",[Address],varchar(100),ContactNumber,varchar(50),EmergencyContact,varchar(50),Picture,image,,
7,Entity,Entity Relationship,2,,,,,,,,tblWorkingExperience,WorkersID,varchar(50),NameOfCompany,varchar(50),Position,varchar(50),YearHire,"numeric(18,0)",Reference,varchar(50),,,,,,,,,,,,,,,,,,,,,,
8,Entity,Entity Relationship,2,,,,,,,,tblEducationalQualification,WorkersID,varchar(50),Matric,varchar(50),YearMatric,"numeric(18,0)",GradeMatric,"numeric(18,0)",Intermediate,varchar(50),YearIntermediate,"numeric(18,0)",GradeIntermediate,"numeric(18,0)",Graduation,varchar(50),YearGraduation,"numeric(18,0)",GradeGraduation,"numeric(18,0)",Masters,varchar(50),YearMasters,"numeric(18,0)",GradeMasters,"numeric(18,0)",,,,,,
9,Entity,Entity Relationship,2,,,,,,,,tblWorkersAttendance,WorkersID,varchar(50),Schedule,varchar(50),CheckIn,varchar(50),CheckOut,"numeric(18,0)",Duration,varchar(50),[Status],varchar(50),[Day],varchar(50),[Date],date,AbsentCause,varchar(100),,,,,,,,,,,,,,
10,Entity,Entity Relationship,2,,,,,,,,tblWorkersSchedule,WorkersID,varchar(50),MonSched,time,TueSched,time,WedSched,time,ThuSched,time,FriSched,time,SatSched,time,SunSched,time,SunDayNight,varchar(50),MonDayNight,varchar(50),TueDayNight,varchar(50),WedDayNight,varchar(50),ThuDayNight,varchar(50),FriDayNight,varchar(50),SatDayNight,varchar(50),,
11,Entity,Entity Relationship,2,,,,,,,,tblEmployeeTemp,EmployeeID,varchar(50),LoggedInDate,date,LoggedInTime,time,LoggedOutDate,date,LoggedOutTime,time,,,,,,,,,,,,,,,,,,,,,,
12,Entity,Entity Relationship,2,,,,,,,,tblLeaveRequested,WorkersID,varchar(50),[From],date,[To],date,FromTime,time(0),ToTime,time(0),[Date],date,FromDayNight,varchar(50),ToDayNight,varchar(50),,,,,,,,,,,,,,,,
13,Line,,2,,21,3,3,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Line,,2,,,11,5,CFN ERD Many Arrow,CFN ERD One Arrow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Line,,2,,,10,6,CFN ERD One Arrow,CFN ERD One Arrow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Line,,2,,,9,6,CFN ERD Many Arrow,CFN ERD One Arrow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Line,,2,,,8,6,CFN ERD One Arrow,CFN ERD One Arrow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Line,,2,,,7,6,CFN ERD One Arrow,CFN ERD One Arrow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Line,,2,,,9,10,CFN ERD Many Arrow,CFN ERD One Arrow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Line,,2,,,6,12,CFN ERD One Arrow,CFN ERD Zero Or More Arrow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Group 1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,